SK_ID_CURR,TARGET
100001,0.18330419772577483
100005,0.5314242807407356
100013,0.13208442184672678
100028,0.17024400635449274
100038,0.6139852674016244
100042,0.13259243803476703
100057,0.1205713855086619
100065,0.2616503832127869
100066,0.065269287588524
100067,0.4934314355766395
100074,0.3230312335664251
100090,0.2893675127198756
100091,0.6321432757526319
100092,0.4640658301048384
100106,0.38769702548374474
100107,0.5367330429619259
100109,0.4789770564029167
100117,0.22068846665307995
100128,0.3530803242000818
100141,0.13517842921224807
100150,0.12729065423166744
100168,0.05718275087202453
100169,0.15528240713477018
100170,0.4360868575012077
100171,0.3530890794382088
100172,0.41652690567163814
100184,0.26498579797606886
100187,0.27109708614160344
100212,0.40642506451432037
100222,0.3345385743153266
100223,0.11290636225590163
100232,0.0966387727288198
100241,0.7133766142947376
100245,0.1126645591244384
100253,0.1404811348110475
100256,0.33685608152081786
100271,0.06000588054589289
100278,0.6675060373982649
100280,0.08617996828103823
100306,0.7016282456837968
100311,0.6474950748310838
100312,0.14259278195873254
100330,0.5915061080652182
100331,0.2446756937033609
100352,0.5153338534678681
100358,0.44563226121638566
100367,0.149917105729831
100382,0.6791030448962291
100384,0.47150389589593505
100385,0.4807857223162373
100386,0.28230357196062716
100399,0.14255226358424947
100404,0.4126159861493455
100416,0.12615922557934392
100422,0.4457154261108517
100426,0.15719136243895604
100438,0.1853817550095859
100444,0.6065396241323354
100445,0.6466155951269744
100446,0.47930145664056134
100447,0.12145301177238663
100450,0.2832183384009226
100466,0.15202194185289822
100483,0.14467841542419557
100484,0.10004426187969008
100494,0.3773723527782246
100510,0.6494026045292376
100512,0.07530563099423417
100517,0.1472344477573752
100548,0.1619888026382728
100551,0.15077787184593172
100552,0.3038552741038989
100553,0.09589162716059865
100561,0.44613467659521505
100568,0.8594811038303878
100569,0.1532061958047638
100591,0.34784206425720454
100592,0.10645679543297917
100602,0.5125247434452461
100607,0.3856380410551791
100613,0.39167386168520574
100617,0.6986251634883603
100618,0.5515672064926163
100622,0.19704404152632338
100625,0.698607542181816
100677,0.6270863876207876
100699,0.21123921974009827
100702,0.8188624571486015
100711,0.38545124726436886
100729,0.5264435986152303
100740,0.7722519163591591
100744,0.7022841889777438
100745,0.27841211576870234
100747,0.3288386053148523
100751,0.726342125498369
100752,0.3500441142672974
100753,0.7576529434230911
100754,0.6471926248495906
100760,0.35517646397064445
